#Steps	Time [ms]	X [m/s²]	Y [m/s²]	Z [m/s²]
1298	6364	0.106341	0.048534	0.11097
1299	6368	-0.061037	0.000621	-0.013527
1300	6373	-0.029747	0.069742	-0.089735
1301	6378	-0.046284	-0.021181	0.034657
1302	6383	-0.062739	-0.07113	0.001115
1303	6388	0.047217	-0.013571	-0.065631
1304	6393	-0.074579	0.041319	-0.081989
1305	6398	-0.036071	0.081634	0.023295
1306	6403	0.023697	-0.066553	-0.022108
1307	6408	0.016429	0.060107	0.042358
1308	6413	0.064018	-0.109425	0.020695
1309	6418	-0.041177	-0.054059	0.00629
1310	6422	-0.036205	-0.115763	-0.031878
1311	6427	-0.033642	0.025443	-0.03887
1312	6432	-0.054926	0.05392	-0.045827
1313	6437	-0.023667	-0.084595	0.035441
1314	6442	0.021739	0.135113	0.032883
1315	6447	0.009713	-0.089614	0.020801
1316	6452	0.035884	-0.055798	0.027848
1317	6457	0.01902	-0.060288	0.001491
1318	6462	0.014158	0.037738	0.025317
1319	6467	-0.028816	0.008948	-0.039164
1320	6471	-0.004837	0.042273	-0.01275
1321	6476	0.009488	0.025378	0.054052
1322	6481	0.014208	0.058622	-0.024874
1323	6486	-0.023999	-0.00841	0.01577
1324	6491	-0.05725	0.039303	0.010923
1325	6496	-0.066499	0.070094	-0.117842
1326	6501	-0.075703	-0.02083	0.006689
1327	6506	-0.022888	-0.05648	0.01619
1328	6511	0.008212	0.03676	-0.019644
1329	6516	-0.008513	-0.025395	-0.033848
1330	6521	-0.010855	-0.03242	-0.009843
1331	6525	-0.017951	-0.003656	0.021192
1332	6530	-0.032163	0.017815	0.073524
1333	6535	-0.008168	-0.037096	-0.07939
1334	6540	-0.010511	-0.044062	-0.052774
1335	6545	0.003843	-0.084363	0.057132
1336	6550	0.041961	0.104358	0.006792
1337	6555	0.001232	-0.036792	0.059196
1338	6560	0.036979	-0.012773	0.0446
1339	6565	-0.022794	-0.005559	-0.039046
1340	6570	-0.036982	-0.005531	-0.015017
1341	6574	-0.020113	-0.091312	0.016044
1342	6579	0.068179	-0.043186	-0.029324
1343	6584	0.053538	0.030919	-0.060164
1344	6589	0.062806	0.035532	0.054546
1345	6594	-0.030465	0.097328	0.068576
1346	6599	0.000673	-0.053321	-0.182038
1347	6604	-0.073221	0.13763	-0.007133
1348	6609	0.07254	-0.075192	0.119231
1349	6614	0.007823	-0.112955	0.025678
1350	6619	-0.154298	0.080675	-0.396339
1351	6624	-0.027201	0.008767	0.163385
1352	6628	-0.089039	0.087381	0.150655
1353	6633	0.011514	-0.134725	-0.026478
1354	6638	-0.021913	-0.053013	-0.248017
1355	6643	0.0211	0.123634	0.129819
1356	6648	0.042447	-0.055748	0.12679
1357	6653	-0.01497	0.02557	0.026049
1358	6658	0.089981	0.056429	0.021152
1359	6663	-0.067781	0.075217	0.128307
1360	6668	0.013597	-0.211184	-0.282303
1361	6673	-0.084197	0.056825	-0.028242
1362	6677	-0.081394	0.047008	0.162583
1363	6682	0.050107	-0.213034	0.121254
1364	6687	-0.076471	-0.042741	-0.327458
1365	6692	0.093142	0.079033	-0.023117
1366	6697	-0.00028	0.081023	0.170067
1367	6702	-0.028882	-0.090996	0.033359
1368	6707	0.021317	-0.01427	-0.074069
1369	6712	0.040279	0.069226	0.107451
1370	6717	0.082983	-0.05268	0.01634
1371	6722	-0.022307	-0.052418	-0.145823
1372	6727	0.008791	0.155213	-0.018768
1373	6731	0.013514	-0.136354	0.205379
1374	6736	-0.096197	-0.076087	0.082795
1375	6741	0.192692	-0.080475	-0.191726
1376	6746	-0.292129	0.148747	-0.281346
1377	6751	0.133598	0.019295	-0.022523
1378	6756	-0.064902	-0.011787	0.149206
1379	6761	0.03553	0.057394	0.043588
1380	6766	0.118778	-0.026316	0.033837
1381	6771	0.037146	-0.209719	-0.080742
1382	6776	0.184742	0.165543	0.026918
1383	6780	-0.192779	-0.095088	0.24369
1384	6785	-0.101245	0.162809	-0.00303
1385	6790	-0.124577	-0.007233	-0.246139
1386	6795	0.100098	0.078611	-0.306887
1387	6800	-0.021962	-0.036191	0.135599
1388	6805	0.00675	-0.148039	0.19213
1389	6810	-0.079092	-0.009056	-0.144908
1390	6815	0.083384	-0.020928	0.032196
1391	6820	-0.024291	0.09597	0.079707
1392	6825	-0.048006	-0.076124	-0.00173
1393	6830	-0.107356	-0.073361	-0.211475
1394	6834	-0.013863	0.127223	-0.086478
1395	6839	-0.085301	-0.052177	0.104638
1396	6844	0.115342	-0.004246	-0.079416
1397	6849	0.050412	-0.066198	0.197472
1398	6854	-0.183427	0.074762	-0.001346
1399	6859	-0.122926	0.031486	-0.070461
1400	6864	-0.148533	0.028945	-0.132084
1401	6869	0.114397	0.08124	-0.05277
1402	6874	0.001801	0.018863	-0.138315
1403	6879	0.132888	0.052139	-0.180532
1404	6883	0.237103	-0.103052	-0.00325
1405	6888	-0.164515	-0.236019	0.447259
1406	6893	-0.001614	-0.18479	0.232897
1407	6898	0.065134	0.111691	-0.395139
1408	6903	0.162536	0.246998	-0.614843
1409	6908	0.43822	-0.195189	-0.051647
1410	6913	0.395519	0.230056	0.341898
1411	6918	0.176648	-0.071417	0.497512
1412	6923	-0.317628	-0.240295	-0.158059
1413	6928	0.239322	0.530791	0.128755
1414	6933	-0.240965	0.516232	0.478498
1415	6937	-0.628286	0.158513	0.268747
1416	6942	-0.091243	-0.016275	-0.297493
1417	6947	-0.2052	-0.218797	-0.372289
1418	6952	-0.17796	0.166045	-0.236957
1419	6957	-0.196143	-0.166096	0.078853
1420	6962	-0.419222	-0.241544	0.045092
1421	6967	0.03574	0.086206	-0.060009
1422	6972	0.266768	-0.221702	0.37648
1423	6977	-0.115929	-0.008463	0.589128
1424	6982	-0.017626	-0.089462	0.312086
1425	6987	-0.179621	0.144573	-0.564232
1426	6992	0.069163	-0.330475	-0.928493
1427	6997	0.126025	0.178867	-0.397106
1428	7001	-0.084356	0.199429	-1.524939
1429	7006	0.409461	-0.309261	0.048647
1430	7011	0.924657	-0.422133	1.738349
1431	7016	0.912906	-0.038664	0.812029
1432	7021	0.002611	0.080707	-0.274147
1433	7026	-0.509868	0.209018	0.087134
1434	7031	-0.230838	0.305704	-0.011025
1435	7036	-0.327416	-0.227351	-0.242177
1436	7041	0.084186	-0.230987	-0.374452
1437	7046	0.062315	0.258792	0.056454
1438	7051	0.102525	0.045367	-0.136896
1439	7055	0.1187	-0.136009	0.211785
1440	7060	-0.40389	0.267489	0.5778
1441	7065	0.54916	0.459227	0.155419
1442	7070	0.04588	0.213819	0.319112
1443	7075	0.222035	0.346235	0.582099
1444	7080	-0.403562	-0.184638	0.085806
1445	7085	-0.1775	-0.147966	-0.696429
1446	7090	0.159465	0.124496	-0.707266
1447	7095	-1.030725	0.150096	-0.408185
1448	7100	-1.151925	-0.220103	-0.654045
1449	7104	-0.636112	-0.054542	-0.431503
1450	7109	-0.008455	0.091126	0.335767
1451	7114	0.54219	-0.150067	-0.211739
1452	7119	0.682506	-0.325704	0.409039
1453	7124	0.376398	0.121643	0.757389
1454	7129	0.49132	-0.145921	-0.106845
1455	7134	0.496026	-0.378784	-0.142067
1456	7139	0.445887	0.135566	0.123216
1457	7144	0.14334	-0.024807	0.289451
1458	7149	0.140244	-0.074739	0.054423
1459	7154	-0.041605	-0.527243	0.144727
1460	7158	-0.019946	0.264338	-0.254047
1461	7163	-0.108038	0.251105	-0.152675
1462	7168	-0.119419	-0.374637	0.460659
1463	7173	-0.116441	0.092021	0.136586
1464	7178	-0.354218	0.017673	-0.126285
1465	7183	0.164777	0.079558	0.150837
1466	7188	0.204478	-0.066235	-0.078734
1467	7193	0.100968	0.05804	0.121876
1468	7198	-0.187945	-0.049509	0.15464
1469	7203	-0.556462	0.043696	-0.017745
1470	7208	-0.048379	0.207944	0.17541
1471	7212	0.695533	0.245046	0.224594
1472	7217	0.441798	0.050759	0.209176
1473	7222	-0.130071	0.029054	0.100874
1474	7227	-0.174711	0.286334	-0.340586
1475	7232	-0.22628	-0.227556	-0.312673
1476	7237	-0.680415	0.140645	-0.77591
1477	7242	-0.808125	0.452191	-1.151038
1478	7247	-0.701612	0.090024	-0.666216
1479	7252	-0.362039	-0.203602	-0.255313
1480	7257	0.271406	-0.63163	0.646943
1481	7261	0.815891	-0.304323	1.168108
1482	7266	0.983448	-0.159795	0.544954
1483	7271	0.275405	0.124643	0.113203
1484	7276	0.15009	0.240818	0.093571
1485	7281	0.037316	-0.334818	0.219433
1486	7286	0.311239	-0.128166	-0.203549
1487	7291	0.135691	0.025019	0.014368
1488	7296	0.220824	-0.065681	0.317009
1489	7301	0.112465	0.11818	0.210555
1490	7306	-0.186039	0.136661	-0.050302
1491	7311	-0.270922	0.178885	-0.095339
1492	7315	0.292946	-0.210525	0.384232
1493	7320	-0.030292	0.272001	0.365635
1494	7325	-0.1231	0.094264	0.118309
1495	7330	-0.163008	-0.201766	-0.587813
1496	7335	-0.660361	-0.002927	-1.600286
1497	7340	-1.75113	0.337937	-2.033282
1498	7345	-0.4982	0.085982	0.010012
1499	7350	-0.216844	0.741033	2.269578
1500	7355	0.68522	0.680141	0.074944
1501	7360	2.102413	-0.970283	0.215202
1502	7364	0.62368	0.915174	0.483475
1503	7369	-0.199367	0.474429	0.357123
1504	7374	-0.77043	-1.048643	-0.104681
1505	7379	-0.668871	-0.149591	-1.117173
1506	7384	0.063826	0.914221	-0.46567
1507	7389	0.11833	-0.355998	1.081195
1508	7394	0.022399	-0.14924	1.168775
1509	7399	-0.440123	-0.703868	0.36685
1510	7404	1.1376	0.021853	-0.149824
1511	7409	0.881667	0.474621	1.390701
1512	7413	-0.097596	-0.381055	0.249207
1513	7418	-0.232973	0.650539	-0.114333
1514	7423	-0.317622	0.432782	-1.172066
1515	7428	-0.752234	-0.477508	-2.093439
1516	7433	0.054769	0.163662	-1.000886
1517	7438	-1.254079	-0.492631	0.520037
1518	7443	-0.058443	0.210586	1.311175
1519	7448	1.88445	-0.002598	0.732597
1520	7453	-0.341637	-0.54127	-0.379402
1521	7458	0.101022	0.245614	0.311333
1522	7463	-0.242714	0.275379	-0.157393
1523	7467	-1.714547	0.216803	-0.876445
1524	7472	-0.371223	0.470766	-0.602741
1525	7477	1.065528	0.375465	0.377517
1526	7482	0.330857	-1.156649	0.961996
1527	7487	-0.471665	-0.11643	0.389922
1528	7492	0.650955	0.472889	-0.014839
1529	7497	0.318785	0.101085	0.280796
1530	7502	-0.598089	0.329404	0.021976
1531	7507	0.706311	0.230039	-0.619312
1532	7512	-0.596243	-0.324092	-0.256313
1533	7516	0.863079	-0.587055	-0.235969
1534	7521	1.335497	0.462249	-0.296767
1535	7526	0.57088	-0.96542	0.410242
1536	7531	0.07941	-0.267001	1.449816
1537	7536	0.083782	0.175286	0.284193
1538	7541	-0.38858	0.155346	-0.098591
1539	7546	0.824202	-0.376961	0.099735
1540	7551	-0.447952	0.256558	-0.789828
1541	7556	-1.394381	0.226679	-1.14105
1542	7561	-1.191992	0.625989	-2.625099
1543	7566	-2.377842	0.282026	-1.282011
1544	7570	-0.909656	-0.348637	-0.756017
1545	7575	-0.316391	0.032083	0.434757
1546	7580	1.177292	-0.635473	2.918649
1547	7585	2.248804	-0.51075	1.297607
1548	7590	0.292631	0.824201	-0.324903
1549	7595	-0.433428	0.53169	-0.392408
1550	7600	0.088345	-0.107366	0.481926
1551	7605	-0.577108	0.286456	0.424706
1552	7610	0.269544	-0.556366	-0.962255
1553	7615	0.508942	-0.446338	0.17234
1554	7619	0.380082	-0.160474	0.397921
1555	7624	0.006355	-0.195429	0.38164
1556	7629	0.325721	0.71368	0.277248
1557	7634	-0.221735	-0.214692	-0.8015
1558	7639	0.282299	0.329828	0.084404
1559	7644	-0.477078	0.247146	-0.037578
1560	7649	0.237981	0.021861	0.146144
1561	7654	0.060413	-0.171316	-0.176363
1562	7659	0.291318	-0.356381	-0.101597
1563	7664	0.16354	-0.306937	0.013319
1564	7669	-0.051794	0.10933	0.368403
1565	7673	-0.618824	0.006293	0.42616
1566	7678	-0.77306	0.590234	-0.581822
1567	7683	-0.101817	-0.578264	-0.612297
1568	7688	0.303895	-0.196401	0.151106
1569	7693	0.128383	0.548247	0.681888
1570	7698	0.487662	-0.429357	-0.048491
1571	7703	-0.270353	-0.033933	-0.033949
1572	7708	0.071841	0.04251	-0.284054
1573	7713	-0.116818	0.111421	0.372839
1574	7718	0.215078	0.089415	0.323313
1575	7722	-0.236485	-0.127934	-0.166926
1576	7727	0.065021	0.525798	-0.147027
1577	7732	0.131437	-0.191886	-0.050953
1578	7737	0.011605	-0.314876	-0.20563
1579	7742	0.178396	-0.146461	-0.214141
1580	7747	-0.060847	0.207035	0.184979
1581	7752	-0.396627	0.120197	0.427182
1582	7757	-0.013284	0.336503	-0.063572
1583	7762	0.244207	-0.065609	-0.466077
1584	7767	0.192937	-0.134406	-0.254004
1585	7771	-0.232296	-0.150422	0.002299
1586	7776	-0.035689	0.091066	0.250178
1587	7781	0.512708	-0.302675	0.136907
1588	7786	-0.262117	-0.041361	-0.588376
1589	7791	-0.215525	-0.29858	-0.011011
1590	7796	0.441027	-0.04682	0.322742
1591	7801	0.038394	0.315714	0.230561
1592	7806	-0.038071	0.249787	-0.20916
1593	7811	-0.185662	0.160352	-0.129461
1594	7816	-0.082245	0.052294	-0.207475
1595	7821	0.137451	0.001979	-0.056279
1596	7825	-0.466273	-0.281674	0.110851
1597	7830	0.055663	-0.14441	0.167505
1598	7835	0.13166	-0.014979	0.421712
1599	7840	0.01421	0.006547	0.238464
1600	7845	0.023674	0.180515	-0.194147
1601	7850	0.075994	0.091425	-0.155044
1602	7855	0.31874	-0.009139	0.196111
1603	7860	-0.130956	-0.133039	-0.019384
1604	7865	-0.039729	-0.08709	-0.148001
1605	7870	-0.09197	-0.360766	0.095859
1606	7874	-0.122498	-0.032423	0.152588
1607	7879	-0.164793	0.237081	-0.18187
1608	7884	-0.230713	0.064285	-0.57902
1609	7889	0.092216	0.476321	-0.237673
1610	7894	0.265757	-0.30309	0.471428
1611	7899	0.316873	-0.251527	-0.074369
1612	7904	-0.216237	-0.104878	-0.028712
1613	7909	-0.074532	-0.24022	0.100142
1614	7914	0.109373	-0.036422	0.302246
1615	7919	0.185103	0.063869	-0.135448
1616	7924	0.184182	0.073086	0.027306
1617	7928	-0.29583	0.373051	0.027169
1618	7933	0.160902	0.120921	0.077089
1619	7938	0.002787	-0.034612	-0.099677
1620	7943	0.002773	0.00608	-0.061044
1621	7948	0.155307	-0.108361	0.010767
1622	7953	-0.040918	-0.119739	0.220467
1623	7958	0.200025	0.050089	0.169315
1624	7963	-0.063161	0.121347	-0.015061
1625	7968	-0.081916	0.011099	0.056521
1626	7973	0.032903	0.030112	0.006185
1627	7977	-0.157946	0.018045	-0.272723
1628	7982	-0.26442	-0.034483	-0.283284
1629	7987	-0.031899	-0.048613	0.016071
1630	7992	0.087437	0.03982	-0.055515
1631	7997	-0.089381	0.077759	-0.007568
1632	8002	0.035009	-0.015586	-0.057586
1633	8007	0.127794	-0.146605	0.1024
1634	8012	0.034199	-0.017163	0.056602
1635	8017	-0.01841	0.106868	-0.034255
1636	8022	-0.125578	0.00861	-0.146112
1637	8027	-0.065364	0.034786	-0.121549
1638	8031	0.190002	-0.220428	0.167467
1639	8036	0.067495	-0.054866	0.145182
1640	8041	0.055241	-0.068894	0.099173
1641	8046	0.214665	-0.018496	0.062925
1642	8051	0.113487	0.122226	0.30812
1643	8056	0.01758	0.088248	0.070614
1644	8061	-0.006343	-0.028986	-0.129955
1645	8066	-0.094503	0.12609	0.068526
1646	8071	0.091885	0.077791	-0.017623
1647	8076	-0.261339	-0.053691	-0.086658
1648	8080	-0.148012	-0.034356	-0.143433
1649	8085	0.074396	0.077842	0.176678
1650	8090	0.045423	0.032167	-0.07209
1651	8095	0.069033	-0.144376	-0.074117
1652	8100	0.0091	-0.050699	-0.102351
1653	8105	-0.143493	0.080649	-0.130444
1654	8110	-0.145163	0.015892	-0.089274
1655	8115	-0.07055	-0.008023	-0.129351
1656	8120	-0.110719	0.09451	-0.107255
1657	8125	0.023311	-0.07996	0.052977
1658	8130	0.35451	-0.224959	0.257699
1659	8134	0.112006	0.004982	0.134856
1660	8139	0.161504	-0.068933	-0.063651
1661	8144	0.041522	-0.09481	-0.001362
1662	8149	-0.106465	0.079662	0.036781
1663	8154	0.044229	0.043512	0.053285
1664	8159	-0.077553	0.129104	0.045867
1665	8164	0.042011	-0.09321	-0.123593
1666	8169	-0.044006	0.047884	-0.068157
1667	8174	-0.077157	0.01666	0.037058
1668	8179	-0.010033	0.040412	0.10123
1669	8183	0.082975	0.068814	0.003
1670	8188	0.099248	0.073239	0.06019
1671	8193	0.029631	0.034738	0.071808
1672	8198	0.081921	-0.077463	0.13104
1673	8203	0.129185	-0.098529	-0.093667
1674	8208	-0.064526	-0.169546	-0.069366
1675	8213	-0.083273	0.193599	0.04539
1676	8218	-0.144832	0.056773	-0.05256
1677	8223	-0.172714	0.073175	-0.214381
1678	8228	-0.117033	0.079962	-0.177562
1679	8233	0.062317	-0.094436	-0.005062
1680	8237	0.200253	-0.039144	0.030717
1681	8242	0.177805	-0.251086	0.106837
1682	8247	-0.116258	0.019505	0.137293
1683	8252	-0.103762	0.031326	-0.206623
1684	8257	-0.088944	0.100293	-0.141238
1685	8262	-0.069433	0.068808	0.109739
1686	8267	0.145433	-0.003041	0.142563
1687	8272	0.073202	-0.067382	-0.058366
1688	8277	0.184866	-0.121869	-0.017554
1689	8282	0.183946	0.050354	0.135081
1690	8286	0.042401	-0.066691	0.065285
1691	8291	0.006436	0.007531	0.045891
1692	8296	0.004021	-0.016342	-0.011542
1693	8301	-0.131862	0.083849	-0.068691
1694	8306	-0.157425	0.112034	-0.211364
1695	8311	0.012591	0.097176	0.006593
1696	8316	-0.037527	0.044254	0.123355
1697	8321	-0.065943	-0.153802	-0.082245
1698	8326	-0.001259	-0.229311	-0.277287
1699	8331	-0.025088	-0.097074	-0.082839
1700	8336	0.041777	0.270477	0.239353
1701	8340	0.032035	-0.2338	0.090383
1702	8345	-0.046782	0.160651	-0.129354
1703	8350	0.144135	-0.014148	0.109646
1704	8355	0.076678	-0.030763	0.049511
1705	8360	0.081064	-0.032993	-0.293968
1706	8365	0.042524	0.012459	0.165137
1707	8370	0.0876	-0.073411	0.345466
1708	8375	0.022808	0.077118	0.026731
1709	8380	-0.022593	0.055282	-0.288031
1710	8385	0.029958	0.176569	-0.010104
1711	8389	-0.082219	0.030293	0.175863
1712	8394	-0.150933	-0.17246	0.031974
1713	8399	0.04527	0.019083	-0.053993
1714	8404	-0.069366	0.25496	-0.151451
1715	8409	-0.02135	-0.151513	0.140098
1716	8414	0.140838	0.011322	-0.048902
1717	8419	0.085316	-0.000652	0.063369
1718	8424	0.063439	0.013653	0.148862
1719	8429	0.013069	0.080325	0.012257
1720	8434	-0.13001	-0.129828	-0.276215
1721	8438	-0.091226	-0.021922	-0.034101
1722	8443	-0.062169	-0.045649	0.116233
1723	8448	-0.038024	-0.069257	-0.137003
1724	8453	-0.035452	0.0598	-0.188759
1725	8458	0.12204	-0.038224	0.215003
1726	8463	0.016556	-0.066636	0.011331
1727	8468	-0.078869	0.002818	-0.174643
1728	8473	-0.018888	-0.125908	0.097951
1729	8478	0.01696	-0.170569	0.178504
1730	8483	-0.068933	-0.000488	-0.07504
1731	8488	0.06489	0.044802	-0.174775
1732	8492	0.140841	-0.081749	0.143107
1733	8497	-0.017175	0.126027	0.068505
1734	8502	0.035349	0.001455	-0.041479
1735	8507	0.120981	0.137311	0.075522
1736	8512	0.063174	-0.042139	0.263448
1737	8517	-0.042017	-0.022861	-0.200274
1738	8522	-0.082329	0.001088	-0.170674
1739	8527	-0.074768	-0.087109	0.166258
1740	8532	0.009028	0.04442	0.06532
1741	8537	-0.074441	0.160994	-0.221031
1742	8541	-0.097907	-0.10915	-0.15796
1743	8546	-0.109337	0.086845	0.15984
1744	8551	-0.089725	0.1174	-0.041175
1745	8556	-0.034457	-0.021431	-0.167298
1746	8561	0.165934	-0.147653	0.088575
1747	8566	0.138889	-0.070645	0.178709
1748	8571	-0.090624	-0.003553	-0.079603
1749	8576	-0.116392	-0.04644	-0.093508
1750	8581	-0.05384	-0.01999	0.133395
1751	8586	0.058455	0.008713	0.113666
1752	8591	-0.034795	0.006286	-0.232516
1753	8595	0.098858	-0.0438	-0.019223
1754	8600	0.169873	0.01839	0.285969
1755	8605	0.142808	0.015915	0.134381
1756	8610	-0.017601	-0.127178	-0.133246
1757	8615	-0.065184	0.066523	-0.065844
1758	8620	-0.136367	-0.038684	0.087032
1759	8625	-0.138072	0.028248	-0.170825
1760	8630	-0.032508	-0.060084	-0.017426
1761	8635	0.089215	-0.019265	0.120907
1762	8640	0.026799	0.178667	0.044031
1763	8644	-0.025773	-0.058195	-0.173093
1764	8649	0.002958	-0.043604	0.042289
1765	8654	0.017244	0.049572	0.106434
1766	8659	0.040994	0.082695	-0.049026
1767	8664	0.005037	-0.075031	-0.063085
1768	8669	-0.014057	0.037369	0.094544
1769	8674	-0.08311	-0.096296	0.041635
1770	8679	-0.073162	0.025745	-0.213614
1771	8684	-0.034661	0.054219	0.023421
1772	8689	-0.032105	-0.041393	0.192537
1773	8693	0.020493	0.018402	0.022346
1774	8698	0.096665	-0.091333	-0.132697
1775	8703	0.01991	0.099806	0.056265
1776	8708	0.060331	-0.053238	0.134643
1777	8713	-0.006708	0.12341	0.010028
1778	8718	-0.09725	-0.032136	-0.154488
1779	8723	-0.070547	0.077668	0.120391
1780	8728	0.032297	-0.158691	-0.011304
1781	8733	0.067889	-0.024422	-0.197166
1782	8738	0.027031	-0.009999	0.039787
1783	8743	0.093636	-0.055237	0.294631
1784	8747	0.026431	0.126189	-0.071519
1785	8752	-0.028523	0.027835	-0.20941
1786	8757	-0.056983	-0.00329	0.046672
1787	8762	-0.128207	-0.003274	0.101262
1788	8767	-0.039377	-0.036627	-0.137598
1789	8772	-0.070167	-0.043596	-0.105927
1790	8777	-0.053133	-0.050529	0.132956
1791	8782	-0.024266	0.056982	-0.144198
1792	8787	-0.019379	0.180644	-0.119645
1793	8792	-0.059803	-0.020474	0.105005
1794	8796	0.135947	-0.108564	0.156921
1795	8801	0.085216	0.044524	0.00836
1796	8806	-0.122578	-0.015286	-0.034586
1797	8811	0.21173	-0.067649	0.068079
1798	8816	0.003307	-0.067312	-0.051436
1799	8821	-0.030079	0.142776	-0.055947
1800	8826	-0.161025	0.163518	-0.181998
1801	8831	-0.01006	-0.018446	0.214579
1802	8836	0.221196	0.015015	0.158689
1803	8841	0.243931	0.036393	0.174584
1804	8846	0.147375	-0.175925	0.128428
1805	8850	-0.015441	-0.10831	0.072968
1806	8855	-0.058268	0.090064	-0.15145
1807	8860	-0.234362	-0.105836	-0.372369
1808	8865	-0.340456	0.254608	-0.189365
1809	8870	-0.190981	0.112711	-0.01204
1810	8875	-0.135209	0.004891	-0.231267
1811	8880	-0.022509	-0.088093	-0.063267
1812	8885	0.072945	-0.221134	0.33987
1813	8890	0.303788	-0.138993	0.035467
1814	8895	0.166413	-0.004822	-0.040984
1815	8899	-0.06562	0.07386	0.111768
1816	8904	-0.241677	0.023438	-0.077089
1817	8909	-0.178502	0.199704	-0.214952
1818	8914	-0.177614	0.031862	-0.130459
1819	8919	0.013955	-0.149447	0.156219
1820	8924	0.233173	0.008611	0.176893
1821	8929	0.317821	-0.024802	0.152178
1822	8934	0.287637	-0.058048	0.222929
1823	8939	0.055001	-0.069677	0.090723
1824	8944	-0.05015	-0.004974	-0.193372
1825	8948	-0.111873	0.09516	-0.094683
1826	8953	-0.077946	0.101837	0.12746
1827	8958	0.00825	-0.055984	0.0291
1828	8963	0.0964	0.006267	-0.059237
1829	8968	0.0554	-0.086723	0.0364
1830	8973	-0.042601	-0.093443	0.110109
1831	8978	-0.00902	0.090556	-0.095424
1832	8983	-0.037578	0.111558	-0.175989
1833	8988	-0.158952	-0.015326	-0.041636
1834	8993	-0.162928	-0.134428	0.001475
1835	8998	-0.11683	-0.036033	-0.29171
1836	9002	-0.099564	-0.004867	-0.06382
1837	9007	0.194109	-0.085884	0.341702
1838	9012	0.121637	-0.152196	0.154085
1839	9017	-0.043434	0.067848	-0.125559
1840	9022	-0.119492	0.022223	-0.151154
1841	9027	-0.118898	-0.144737	-0.019305
1842	9032	-0.051566	0.120559	-0.136004
1843	9037	-0.189556	0.129493	-0.17823
1844	9042	-0.062284	0.136	0.144437
1845	9047	0.100108	-0.134019	0.44643
1846	9051	0.187801	-0.07138	0.074758
1847	9056	0.286976	0.117276	-0.097231
1848	9061	0.082946	-0.095444	0.110622
1849	9066	0.039629	0.050428	0.138676
1850	9071	0.180062	0.21941	0.168971
1851	9076	0.241139	-0.065325	-0.027321
1852	9081	-0.022252	-0.162726	-0.14398
1853	9086	-0.262881	0.314795	-0.102744
1854	9091	-0.242505	0.120161	0.181411
1855	9096	0.016126	0.009919	0.011274
1856	9101	-0.022091	0.002719	-0.062671
1857	9105	0.209224	-0.118856	-0.248277
1858	9110	0.043718	-0.061059	0.158164
1859	9115	-0.206774	-0.055988	-0.197774
1860	9120	-0.427416	-0.093847	-0.315968
1861	9125	-0.332331	-0.117215	-0.221437
1862	9130	-0.047034	-0.138084	-0.017732
1863	9135	-0.146909	-0.044439	0.027644
1864	9140	0.163684	-0.115724	0.108547
1865	9145	0.091363	-0.005505	0.112775
1866	9150	0.086142	0.054112	0.026406
1867	9154	0.107165	0.080062	0.262247
1868	9159	0.15192	-0.118172	0.008285
1869	9164	0.093958	-0.019858	0.101202
1870	9169	-0.035221	-0.024527	0.203192
1871	9174	0.09605	-0.04824	-0.17919
1872	9179	0.052668	0.033041	-0.071036
1873	9184	0.240707	0.147287	0.186741
1874	9189	0.096496	-0.137089	0.226334
1875	9194	-0.054149	0.168689	0.053591
1876	9199	-0.144455	0.239356	-0.199334
1877	9203	-0.18664	0.054631	-0.122067
1878	9208	-0.026013	-0.148243	-0.152447
1879	9213	-0.080705	-0.037862	-0.011057
1880	9218	0.131833	-0.044824	0.050969
1881	9223	-0.030905	0.034056	0.103155
1882	9228	-0.276258	0.381887	-0.343085
1883	9233	-0.150938	-0.068123	0.06621
1884	9238	-0.097749	0.106216	-0.110503
1885	9243	0.167312	0.02703	-0.038447
1886	9248	0.142644	-0.068447	0.152429
1887	9253	0.249195	-0.161065	0.056328
1888	9257	0.064421	-0.131661	0.029829
1889	9262	-0.212392	-0.016595	0.20368
1890	9267	-0.347199	-0.099937	-0.162017
1891	9272	-0.202458	-0.147111	-0.270855
1892	9277	0.024988	-0.067722	-0.069287
1893	9282	-0.015657	-0.029248	0.159879
1894	9287	0.272832	-0.005267	0.032754
1895	9292	0.18805	-0.021925	0.087414
1896	9297	0.418319	-0.23872	0.189472
1897	9302	-0.131981	0.096166	0.095571
1898	9306	-0.207598	0.100455	-0.093207
1899	9311	-0.139825	0.014147	0.028819
1900	9316	-0.060472	-0.040746	-0.0762
1901	9321	0.199637	-0.085831	-0.259356
1902	9326	0.086616	0.055227	-0.05308
1903	9331	0.057582	-0.026089	0.104501
1904	9336	-0.10717	0.133739	-0.053335
1905	9341	-0.03513	0.011512	-0.131727
1906	9346	-0.049256	0.056742	-0.030962
1907	9351	-0.032326	-0.048416	0.062152
1908	9356	0.032191	0.080537	0.030856
1909	9360	0.13214	0.154026	-0.059873
1910	9365	0.007537	0.141342	0.119192
1911	9370	-0.064007	0.164475	-0.136441
1912	9375	0.026887	-0.043713	-0.140529
1913	9380	0.179301	0.018477	0.065156
1914	9385	0.078299	-0.103177	0.234065
1915	9390	-0.053186	0.080871	0.082736
1916	9395	0.032887	-0.138819	-0.084525
1917	9400	0.023189	-0.04517	0.054143
