#Steps	Time [ms]	X [m/s²]	Y [m/s²]	Z [m/s²]
158	771	0.037097	0.036462	0.107076
159	776	-0.034594	0.045815	-0.065074
160	780	0.037085	-0.064057	0.099715
161	785	0.005914	-0.058971	0.037247
162	790	0.027336	0.034281	0.037062
163	795	0.067721	0.034111	0.108384
164	800	0.103137	-0.278305	-0.0304
165	805	-0.045156	0.21886	0.1366
166	810	0.074246	-0.237489	-0.059531
167	815	0.061959	-0.007486	0.226792
168	820	0.066418	-0.157613	-0.251048
169	825	-0.255693	0.274596	0.524858
170	829	0.324784	-0.305975	-0.500301
171	834	0.09673	0.14604	0.522353
172	839	0.027126	0.114327	-0.049918
173	844	-0.18753	-0.336735	0.02422
174	849	0.144718	0.346639	0.033634
175	854	0.010519	-0.262894	-0.097628
176	859	0.127261	0.086414	0.236556
177	864	0.08134	0.112203	0.085216
178	869	0.014196	-0.193451	-0.108277
179	874	-0.081217	0.012498	-0.226916
180	879	-0.016457	-0.025701	0.408239
181	883	0.121871	0.014947	-0.139627
182	888	-0.095639	0.117366	-0.146083
183	893	0.088371	-0.073903	0.307521
184	898	0.14752	0.05041	-0.027708
185	903	0.058594	-0.145293	0.027252
186	908	0.017782	-0.211309	0.031883
187	913	0.067749	0.147276	0.303452
188	918	-0.101821	0.170379	-0.20814
189	923	0.025014	-0.137948	-0.014036
190	928	0.122616	-0.075289	0.105211
191	933	0.012362	-0.003408	-0.093147
192	937	0.036136	-0.158322	0.126603
193	942	-0.035551	-0.078877	-0.081396
194	947	-0.011538	0.033542	0.143064
195	952	0.114848	0.207376	0.042241
196	957	0.071372	-0.072533	0.151675
197	962	0.06625	-0.146062	-0.10412
198	967	0.106441	0.088253	0.275384
199	972	0.034405	0.00439	-0.088286
200	977	-0.053958	-0.043303	0.10522
201	982	0.001132	0.14283	-0.150345
202	986	-0.034627	0.142119	0.150732
203	991	0.094258	-0.080259	0.092776
204	996	0.038967	-0.125147	-0.055466
205	1001	0.122198	-0.048251	0.176016
206	1006	0.078686	0.19988	-0.180011
207	1011	-0.059952	-0.079991	0.021104
208	1016	0.030921	0.032434	0.056753
209	1021	0.030767	0.18482	0.316278
210	1026	0.111655	-0.083058	-0.219213
211	1031	-0.046215	-0.149384	0.096508
212	1036	0.020754	0.11355	0.186604
213	1040	-0.048472	0.079616	0.059347
214	1045	0.080481	-0.130534	0.016147
215	1050	0.027643	-0.125117	-0.107879
216	1055	-0.036851	-0.014851	0.200138
217	1060	0.056291	0.011442	0.058513
218	1065	0.125134	-0.234122	-0.156299
219	1070	0.041087	0.091207	0.299739
220	1075	-0.066377	0.176562	0.13855
221	1080	-0.046979	-0.196152	-0.040907
222	1085	0.048597	-0.06408	0.0022
223	1090	0.146082	0.053033	-0.012113
224	1094	0.038095	-0.00682	0.22392
225	1099	0.009302	-0.102128	0.015436
226	1104	0.05216	0.015174	0.108318
227	1109	0.028065	0.124743	0.305615
228	1114	-0.084102	0.095519	0.392286
229	1119	0.021193	-0.133778	0.180581
230	1124	0.056841	0.055189	0.203518
231	1129	0.204339	0.095435	-0.286125
232	1134	0.098446	-0.148163	-0.661304
233	1139	0.169463	0.086163	-0.386289
234	1143	0.109031	0.131022	0.025606
235	1148	0.067968	-0.005493	0.249534
236	1153	-0.011028	-0.045986	0.133883
237	1158	0.120123	-0.038606	-0.019333
238	1163	0.164813	0.176106	-0.181318
239	1168	0.180678	-0.103647	-0.335348
240	1173	0.177395	-0.007789	-0.097707
241	1178	0.121691	-0.04827	0.041025
242	1183	0.073414	0.063997	-0.283342
243	1188	0.058748	-0.110321	-0.327221
244	1193	0.137113	-0.040649	-0.273154
245	1198	0.124513	0.042978	0.20015
246	1202	-0.031038	-0.043044	0.597208
247	1207	-0.092856	0.014375	0.196183
248	1212	0.122126	-0.019066	-0.121808
249	1217	0.052395	0.107358	0.107619
250	1222	0.049751	-0.157752	0.037961
251	1227	0.037586	-0.094994	0.214155
252	1232	0.096988	0.139067	0.165419
253	1237	0.020231	-0.01894	-0.049924
254	1242	-0.022773	-0.002161	-0.006772
255	1247	0.029778	-0.047437	0.102905
256	1252	0.02963	0.14825	0.104776
257	1257	0.089072	-0.112295	-0.129333
258	1261	0.014738	0.074181	0.066761
259	1266	0.024199	0.014223	0.025908
260	1271	0.00501	0.047522	0.009095
261	1276	0.078876	-0.210139	-0.138732
262	1281	-0.026393	0.022112	0.136068
263	1286	-0.016728	0.062523	0.230733
264	1291	-0.085768	-0.004528	0.141394
265	1296	-0.061506	-0.01404	-0.150104
266	1301	0.048444	0.021783	0.193876
267	1306	-0.004235	0.028826	0.266802
268	1311	-0.025666	-0.235893	-0.161183
269	1315	0.0269	-0.013048	0.044604
270	1320	0.02915	0.037071	0.180246
271	1325	-0.006749	0.041654	-0.008951
272	1330	0.002819	-0.0968	-0.17099
273	1335	0.002805	0.018093	0.165943
274	1340	0.052846	0.08951	0.065008
275	1345	-0.00939	-0.13499	-0.114082
276	1350	-0.011726	-0.060428	-0.144501
277	1355	0.012167	0.073352	0.116026
278	1360	0.045477	0.087288	0.105914
279	1365	0.028566	-0.1229	-0.309353
280	1369	0.02604	0.056479	0.066406
281	1374	0.01876	0.122938	0.1495
282	1379	0.02105	0.112792	-0.165873
283	1384	0.032863	-0.130892	-0.124527
284	1389	0.023165	-0.01583	0.226477
285	1394	-0.088977	0.103426	0.180062
286	1399	-0.095685	0.031405	-0.276093
287	1404	0.064489	0.021715	-0.115022
288	1409	0.123757	0.021607	0.290756
289	1414	0.080238	0.066787	0.201118
290	1418	-0.089394	-0.131381	-0.040622
291	1423	0.116037	0.052807	0.05969
292	1428	0.01535	0.052544	0.166653
293	1433	-0.018096	-0.071663	-0.186943
294	1438	0.010596	-0.085607	-0.054916
295	1443	-0.037128	-0.00414	0.240918
296	1448	-0.106066	0.010181	-0.008171
297	1453	-0.069785	-0.011321	-0.198814
298	1458	0.114096	-0.23532	0.038147
299	1463	0.185035	0.044728	0.269163
300	1468	0.160279	-0.010317	0.098591
301	1472	-0.040737	0.035022	-0.037762
302	1477	-0.028617	-0.058111	0.062535
303	1482	-0.116666	-0.014918	0.033621
304	1487	-0.099401	0.028061	-0.22397
305	1492	-0.051235	0.018387	0.122762
306	1497	0.144472	0.070734	0.143602
307	1502	0.138986	0.208628	-0.043029
308	1507	0.000048	-0.08082	0.023925
309	1512	0.042952	-0.063733	0.252627
310	1517	0.076108	0.151104	0.094055
311	1522	-0.191229	0.052626	-0.023208
312	1526	-0.059182	-0.052512	-0.144653
313	1531	0.124646	-0.07847	0.103956
314	1536	0.014382	-0.037559	-0.006204
315	1541	-0.061963	-0.061208	-0.149185
316	1546	0.007468	-0.175314	0.073228
317	1551	0.050335	-0.017127	0.084781
318	1556	-0.004737	0.035397	-0.134928
319	1561	0.052492	-0.25319	-0.062749
320	1566	0.140423	-0.135136	0.292714
321	1571	-0.079564	0.089591	0.031449
322	1576	-0.257935	0.255994	-0.059281
323	1580	0.227211	-0.16717	-0.023234
324	1585	0.137889	0.007662	0.07699
325	1590	0.065696	0.012391	0.10521
326	1595	0.120191	0.179179	-0.088382
327	1600	-0.032954	0.142534	0.009784
328	1605	-0.073311	0.13229	0.071708
329	1610	-0.120617	-0.075738	0.028445
330	1615	-0.065196	-0.237443	-0.11471
331	1620	-0.024351	-0.024125	-0.049783
332	1625	0.121168	0.09279	0.169752
333	1629	-0.024832	-0.06737	0.080715
334	1634	0.13499	0.033074	-0.072235
335	1639	0.034209	0.276033	0.056836
336	1644	0.100778	-0.135313	-0.076926
337	1649	0.155099	-0.139407	0.052169
338	1654	-0.146002	-0.181617	0.118649
339	1659	0.095464	-0.159262	-0.044024
340	1664	0.059236	0.127558	-0.096243
341	1669	0.023188	-0.011323	0.023413
342	1674	0.082662	-0.01365	0.109105
343	1679	0.039346	-0.068404	-0.013
344	1683	-0.063343	0.034429	0.00375
345	1688	-0.032041	0.1296	0.015649
346	1693	0.106365	-0.03551	0.079926
347	1698	0.167808	-0.233169	-0.01343
348	1703	0.002508	0.089772	0.136802
349	1708	-0.366957	0.008284	0.066998
350	1713	-0.253104	0.225147	-0.181225
351	1718	-0.058776	-0.140658	-0.020624
352	1723	0.210859	0.11985	-0.003838
353	1728	0.281316	-0.109568	0.222621
354	1732	0.244163	0.339086	0.164308
355	1737	0.018894	0.232523	-0.060565
